model,day,hour,pv_kw,temp_outdoor,n_home,battery_soc,ev_soc,cumulative_import_kwh,cumulative_export_kwh,step_bill_vnd,total_bill_vnd,comfort_score,wm_remaining,dw_remaining,action_battery,action_ac_living,action_ac_master,action_ac_bed2,action_ev,action_wm,action_dw,reward,temp_living,temp_master,temp_bed2
Hybrid,1,0,0.0,24.464466094067262,2,0.18421050906181335,0.3775518834590912,0.0,2.3499999046325684,0.0,0.0,100.0,1,0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-2.1769298098304057,24.946447372436523,24.946447372436523,24.946447372436523
Hybrid,1,1,0.0,23.669872981077805,2,0.1,0.3775518834590912,0.0,4.699999809265137,0.0,0.0,100.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-2.27459979057312,24.818790435791016,24.818790435791016,24.818790435791016
Hybrid,1,2,0.0,23.17037086855466,2,0.1,0.3775518834590912,0.0,7.549999713897705,0.0,0.0,100.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-2.729519844055176,24.653947830200195,24.653947830200195,24.653947830200195
Hybrid,1,3,0.0,23.0,2,0.1,0.3775518834590912,0.0,10.399999618530273,0.0,0.0,100.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-3.4118998050689697,24.48855209350586,24.48855209350586,24.48855209350586
Hybrid,1,4,0.0,23.17037086855466,2,0.1,0.3775518834590912,0.0,13.249999523162842,0.0,0.0,100.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-4.54919958114624,24.356733322143555,24.356733322143555,24.356733322143555
Hybrid,1,5,0.0,23.66987298107781,2,0.1,0.3775518834590912,0.0,16.09999942779541,0.0,0.0,100.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-6.8237996101379395,24.288047790527344,24.288047790527344,24.288047790527344
Hybrid,1,6,0.0,24.464466094067262,2,0.1,0.3775518834590912,0.0,18.94999933242798,0.0,0.0,100.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-13.647599220275879,24.305688858032227,24.305688858032227,24.305688858032227
Hybrid,1,7,0.0,25.5,2,0.1,0.3775518834590912,0.0,21.799999237060547,0.0,0.0,100.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.8971765041351318,-0.56864994764328,24.425119400024414,24.425119400024414,24.425119400024414
Hybrid,1,8,0.0,26.705904774487397,0,0.1,0.3775518834590912,0.0,24.649999141693115,0.0,0.0,100.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5933738946914673,24.6531982421875,24.6531982421875,24.6531982421875
Hybrid,1,9,0.0,28.0,0,0.1,0.3775518834590912,0.0,26.82910680770874,0.0,0.0,100.0,0,0,-1.0,-1.0,-0.10547708719968796,-1.0,-1.0,-1.0,-1.0,-0.620345413684845,24.987878799438477,24.093355178833008,24.987878799438477
Hybrid,1,10,0.0,29.294095225512603,0,0.1,0.3775518834590912,0.0,28.703147411346436,0.0,0.0,100.0,0,0,-1.0,-1.0,0.12148220092058182,-0.7303044199943542,-1.0,-1.0,-1.0,-0.6498857140541077,25.418500900268555,23.491947174072266,25.148805618286133
Hybrid,1,11,0.0,30.5,0,0.1,0.3775518834590912,0.0,30.091681838035583,0.0,0.0,100.0,0,0,-1.0,-0.6275081038475037,0.10096705704927444,-0.47350311279296875,-1.0,-1.0,-1.0,-0.682379961013794,25.55415916442871,23.091785430908203,25.157428741455078
Hybrid,1,12,0.0,31.535533905932738,0,0.1,0.3775518834590912,0.0,30.542700171470642,0.0,0.0,89.404052734375,0,0,-1.0,0.2415376752614975,0.055350251495838165,-0.2681378424167633,-1.0,-1.0,-1.0,-0.7182946801185608,24.91075897216797,22.880809783935547,25.06337547302246
Hybrid,1,13,0.0,32.33012701892219,0,0.1,0.3775518834590912,0.0,30.928046107292175,0.0,0.0,87.9805908203125,0,0,-1.0,0.11029259860515594,0.22962146997451782,-0.13570943474769592,-1.0,-1.0,-1.0,-0.75819993019104,24.542404174804688,22.596118927001953,24.92576026916504
Hybrid,1,14,0.0,32.829629131445344,0,0.1,0.3775518834590912,0.0,31.104280829429626,0.0,0.0,86.50699615478516,0,0,-1.0,0.17745964229106903,0.3180720806121826,0.015503045171499252,-1.0,-1.0,-1.0,-0.8027999401092529,24.193666458129883,22.30139923095703,24.70064353942871
Hybrid,1,15,0.0,33.0,0,0.1,0.3775518834590912,0.0,31.17984402179718,0.0,0.0,84.69226837158203,0,0,-1.0,0.11245743930339813,0.4328051805496216,0.1747508943080902,-1.0,-1.0,-1.0,-0.8529749512672424,23.961841583251953,21.938453674316406,24.35582733154297
Hybrid,1,16,0.0,32.829629131445344,0,0.1,0.3775518834590912,0.06189894676208496,31.17984402179718,122.80751037597656,122.80751037597656,82.66044616699219,0,0,-1.0,0.12876181304454803,0.49548113346099854,0.32305240631103516,-1.0,-1.0,-1.0,-0.9712436833381652,23.719858169555664,21.532089233398438,23.88015365600586
Hybrid,1,17,0.0,32.33012701892219,0,0.1,0.3775518834590912,0.10178089141845703,31.17984402179718,79.12577819824219,201.93328857421875,80.38011169433594,0,0,-1.0,0.03250633180141449,0.5358706116676331,0.4109453558921814,-1.0,-1.0,-1.0,-1.0143914303779602,23.548377990722656,21.07602310180664,23.314205169677734
Hybrid,1,18,0.0,31.535533905932738,2,0.1,0.3775518834590912,0.7765979766845703,31.17984402179718,1338.8370971679688,1540.7703857421875,54.52824401855469,0,0,-1.0,1.0,-0.3002440929412842,1.0,-1.0,-1.0,-1.0,-2.145520632505417,22.34709358215332,21.422218322753906,22.136337280273438
Hybrid,1,19,0.0,30.5,2,0.1,0.3775518834590912,1.7351677417755127,31.17984402179718,1901.8024139404297,3442.572799682617,42.07143783569336,0,0,-1.0,1.0,0.07809288054704666,1.0,-1.0,-1.0,-1.0,-5.46503358745575,21.162384033203125,21.251903533935547,20.97270393371582
Hybrid,1,20,0.0,29.294095225512606,2,0.1,0.3775518834590912,3.067833662033081,31.17984402179718,2644.0091857910156,6086.581985473633,40.0,0,0,-1.0,1.0,0.5768879652023315,1.0,-1.0,-1.0,-1.0,-11.709960854530335,19.975555419921875,20.47923469543457,19.80484390258789
Hybrid,1,21,0.0,28.0,2,0.1,0.3775518834590912,3.067833662033081,31.985469698905945,0.0,6086.581985473633,40.0,0,0,-1.0,-1.0,0.7363494634628296,0.48422425985336304,-1.0,-1.0,-1.0,-6.30204439163208,20.777999877929688,19.494962692260742,19.140134811401367
Hybrid,1,22,0.0,26.705904774487397,2,0.1,0.3775518834590912,3.067833662033081,33.79356026649475,0.0,6086.581985473633,40.0,0,0,-1.0,-0.10409428179264069,-1.0,-0.7079925537109375,-1.0,-1.0,-1.0,-20.794774532318115,20.474884033203125,20.21605682373047,19.604703903198242
Hybrid,1,23,0.0,25.5,2,0.1,0.3775518834590912,3.067833662033081,36.64356017112732,0.0,6086.581985473633,40.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,0.458300918340683,-0.2732127606868744,-419.15540182590485,20.97739601135254,20.74445152282715,20.194232940673828
Hybrid,2,0,0.0,24.464466094067262,2,0.18421050906181335,0.2396310716867447,0.0,2.3499999046325684,0.0,0.0,100.0,1,0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-3.3421804688193584,24.946447372436523,24.946447372436523,24.946447372436523
Hybrid,2,1,0.0,23.669872981077805,2,0.1,0.2396310716867447,0.0,4.699999809265137,0.0,0.0,100.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-3.634058952331543,24.818790435791016,24.818790435791016,24.818790435791016
Hybrid,2,2,0.0,23.17037086855466,2,0.1,0.2396310716867447,0.0,7.549999713897705,0.0,0.0,100.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-4.360870838165283,24.653947830200195,24.653947830200195,24.653947830200195
Hybrid,2,3,0.0,23.0,2,0.1,0.2396310716867447,0.0,10.399999618530273,0.0,0.0,100.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-5.451088905334473,24.48855209350586,24.48855209350586,24.48855209350586
Hybrid,2,4,0.0,23.17037086855466,2,0.1,0.2396310716867447,0.0,13.249999523162842,0.0,0.0,100.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-7.268117904663086,24.356733322143555,24.356733322143555,24.356733322143555
Hybrid,2,5,0.0,23.66987298107781,2,0.1,0.2396310716867447,0.0,16.09999942779541,0.0,0.0,100.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-10.902177810668945,24.288047790527344,24.288047790527344,24.288047790527344
Hybrid,2,6,0.0,24.464466094067262,2,0.1,0.2396310716867447,0.0,18.94999933242798,0.0,0.0,100.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-21.80435562133789,24.305688858032227,24.305688858032227,24.305688858032227
Hybrid,2,7,0.0,25.5,2,0.1,0.2396310716867447,0.0,21.799999237060547,0.0,0.0,100.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.9133580327033997,-0.9085147380828857,24.425119400024414,24.425119400024414,24.425119400024414
