model,day,hour,pv_kw,temp_outdoor,n_home,battery_soc,ev_soc,cumulative_import_kwh,cumulative_export_kwh,step_bill_vnd,total_bill_vnd,comfort_score,wm_remaining,dw_remaining,action_battery,action_ac_living,action_ac_master,action_ac_bed2,action_ev,action_wm,action_dw,reward,temp_living,temp_master,temp_bed2
PPO,1,23,0.0,25.5,2,0.1,1.0,13.394651651382446,46.25889039039612,1031.2239685058594,26574.988876342773,49.36578369140625,0,0,-1.0,-1.0,-1.0,-1.0,-0.03720854967832565,1.0,1.0,-9.141613461494446,28.095382690429688,28.640483856201172,28.390975952148438
PPO,2,0,0.0,24.464466094067262,2,0.18421050906181335,0.6122949719429016,5.84999942779541,0.0,11606.398864746094,11606.398864746094,100.0,1,0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-6.621716201565483,24.946447372436523,24.946447372436523,24.946447372436523
PPO,2,1,0.0,23.669872981077805,2,0.1,0.7872949838638306,10.499999523162842,0.0,9225.600189208984,20831.999053955078,100.0,0,0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-4.718653555333614,24.818790435791016,24.818790435791016,24.818790435791016
PPO,2,2,0.0,23.17037086855466,2,0.1,0.8977969884872437,12.070079803466797,0.0,3115.039276123047,23947.038330078125,100.0,0,0,-1.0,-1.0,-1.0,-1.0,0.26288002729415894,1.0,1.0,-1.5575681696083048,24.653947830200195,24.653947830200195,24.653947830200195
PPO,2,3,0.0,23.0,2,0.1,0.9902037978172302,12.916351556777954,0.0,1679.003158569336,25626.04148864746,100.0,0,0,-1.0,-1.0,-1.0,-1.0,0.056077562272548676,1.0,1.0,-0.839501579284668,24.48855209350586,24.48855209350586,24.48855209350586
PPO,2,4,0.0,23.17037086855466,2,0.1,1.0,12.916351556777954,0.24364018440246582,0.0,25626.04148864746,100.0,0,0,-1.0,-1.0,-1.0,-1.0,-0.2553257942199707,1.0,1.0,-0.0,24.356733322143555,24.356733322143555,24.356733322143555
PPO,2,5,0.0,23.66987298107781,2,0.1,1.0,12.916351556777954,1.4688533544540405,0.0,25626.04148864746,100.0,0,0,-1.0,-1.0,-1.0,-1.0,-0.5357751846313477,1.0,1.0,-0.0,24.288047790527344,24.288047790527344,24.288047790527344
PPO,2,6,0.0,24.464466094067262,2,0.1,1.0,12.916351556777954,3.7905486822128296,0.0,25626.04148864746,100.0,0,0,-1.0,-1.0,-1.0,-1.0,-0.8490557670593262,1.0,0.9066261053085327,-0.0,24.305688858032227,24.305688858032227,24.305688858032227
PPO,2,7,0.0,25.5,2,0.1,1.0,12.916351556777954,6.640548586845398,0.0,25626.04148864746,100.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.6897141933441162,-0.0,24.425119400024414,24.425119400024414,24.425119400024414
PPO,2,8,0.0,26.705904774487397,0,0.1,1.0,12.916351556777954,9.490548491477966,0.0,25626.04148864746,100.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7178878784179688,0.08446771651506424,-0.0,24.6531982421875,24.6531982421875,24.6531982421875
PPO,2,9,0.0,28.0,0,0.1,1.0,12.916351556777954,12.340548396110535,0.0,25626.04148864746,100.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,0.37134698033332825,-0.18858322501182556,-0.0,24.987878799438477,24.987878799438477,24.987878799438477
PPO,2,10,0.0,29.294095225512603,0,0.1,1.0,12.916351556777954,15.190548300743103,0.0,25626.04148864746,100.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,0.16336725652217865,-0.3543393909931183,-0.0,25.418500900268555,25.418500900268555,25.418500900268555
PPO,2,11,0.0,30.5,0,0.1,1.0,12.916351556777954,17.919958233833313,0.0,25626.04148864746,100.0,0,0,-1.0,-0.8794098496437073,-1.0,-1.0,-1.0,0.05131537839770317,-0.4431684613227844,-0.0,25.806060791015625,25.926651000976562,25.926651000976562
