day,total_bill,total_import_kwh,total_export_kwh,total_pv_kwh,wm_completed,dw_completed,ev_target_met,avg_comfort,total_reward,final_battery_soc,final_ev_soc,model
1,26574.988876342773,13.394651651382446,46.25889039039612,0.0,True,True,True,78.17227395375569,-51.079741935394026,0.1,1.0,PPO
2,26657.26545715332,13.436121702194214,46.24529314041138,0.0,True,True,True,78.17227395375569,-51.144456834054395,0.1,1.0,PPO
3,29058.840225219727,14.646592855453491,45.95751166343689,0.0,True,True,True,78.17227395375569,-53.207097305081106,0.1,1.0,PPO
4,27312.515563964844,13.766388893127441,45.90097224712372,0.0,True,True,True,78.17227395375569,-52.58365172242419,0.1,1.0,PPO
5,28780.434341430664,14.506267309188843,45.98223876953125,0.0,True,True,True,78.17227395375569,-52.96506506331942,0.1,1.0,PPO
6,31670.19808959961,15.962801456451416,45.628788232803345,0.0,True,True,True,78.1675386428833,-55.743554164014085,0.1,1.0,PPO
7,20853.122344970703,10.510646343231201,45.9987108707428,0.0,True,True,True,78.17227395375569,-48.502381007552145,0.1,1.0,PPO
8,27012.9580078125,13.615402221679688,46.18640494346619,0.0,True,True,True,78.17227395375569,-51.43202865980498,0.1,1.0,PPO
9,28491.837661743164,14.36080527305603,45.776116609573364,0.0,True,True,True,78.17227395375569,-53.70620008161596,0.1,1.0,PPO
10,25756.209228515625,12.98196029663086,46.290579080581665,0.0,True,True,True,78.17227395375569,-50.46134557472847,0.1,1.0,PPO
11,25564.63182067871,12.885399103164673,46.290579080581665,0.0,True,True,True,78.17227395375569,-50.323351052812555,0.1,1.0,PPO
12,31547.750549316406,15.901083946228027,45.65570521354675,0.0,True,True,True,78.1690861384074,-55.60486539610408,0.1,1.0,PPO
13,28882.07977294922,14.557499885559082,45.973217248916626,0.0,True,True,True,78.17227395375569,-53.05295317330143,0.1,1.0,PPO
14,26598.557220458984,13.406530857086182,46.25499701499939,0.0,True,True,True,78.17227395375569,-51.098218561671,0.1,1.0,PPO
15,25468.539672851562,12.836965560913086,46.290579080581665,0.0,True,True,True,78.17227395375569,-50.25510767679594,0.1,1.0,PPO
16,22771.853286743164,11.47774863243103,45.91713047027588,0.0,True,True,True,78.17227395375569,-49.81867070680856,0.1,1.0,PPO
17,22918.888061523438,11.551858901977539,45.796369791030884,0.0,True,True,True,78.17227395375569,-50.45758664572239,0.1,1.0,PPO
18,28979.967987060547,14.606838703155518,45.69676351547241,0.0,True,True,True,78.17144139607747,-54.20463674484871,0.1,1.0,PPO
19,18015.947341918945,9.080618619918823,46.00165295600891,0.0,True,True,True,78.17227395375569,-47.00687427446246,0.1,1.0,PPO
20,26840.973663330078,13.528716564178467,46.21489930152893,0.0,True,True,True,78.17227395375569,-51.29139455030884,0.1,1.0,PPO
21,19617.80810546875,9.888008117675781,46.017494201660156,0.0,True,True,True,78.17227395375569,-47.67867016142607,0.1,1.0,PPO
22,23013.5947265625,11.599594116210938,45.78925037384033,0.0,True,True,True,78.17227395375569,-50.52853651647269,0.1,1.0,PPO
23,27002.733627319336,13.610248804092407,46.18809962272644,0.0,True,True,True,78.17227395375569,-51.423585035576735,0.1,1.0,PPO
24,29587.72332763672,14.913166999816895,45.56309616565704,0.0,True,True,True,78.16373459498088,-54.89543165605447,0.1,1.0,PPO
25,32606.28872680664,16.434621334075928,45.42209208011627,0.0,True,True,True,78.15546147028606,-56.83824722322009,0.1,1.0,PPO
26,19555.04086303711,9.856371402740479,45.952866554260254,0.0,True,True,True,78.17227395375569,-48.04803696119785,0.1,1.0,PPO
27,27665.147186279297,13.944126605987549,45.86942195892334,0.0,True,True,True,78.17227395375569,-52.90931214693866,0.1,1.0,PPO
28,21312.174087524414,10.742023229598999,45.97933053970337,0.0,True,True,True,78.17227395375569,-48.812347876906394,0.1,1.0,PPO
29,27302.8067779541,13.761495351791382,46.13827681541443,0.0,True,True,True,78.17227395375569,-51.67572356180034,0.1,1.0,PPO
30,26036.722427368164,13.123347997665405,46.290579080581665,0.0,True,True,True,78.17227395375569,-50.66802008058808,0.1,1.0,PPO
1,6086.581985473633,3.067833662033081,36.64356017112732,0.0,True,True,False,82.00933949152629,-509.418823031924,0.1,0.3775518834590912,Hybrid
2,5991.675231933594,3.0199975967407227,36.677945613861084,0.0,True,True,False,82.09953689575195,-566.855982507489,0.1,0.2396310716867447,Hybrid
3,5993.901748657227,3.0211198329925537,37.67724168300629,0.0,True,True,False,82.09736633300781,-565.1254296398163,0.1,0.2430296093225479,Hybrid
